Origin Page,Destination Page,Link Text,Sentence Text,Wikidata Property Label,Direction
Bertil Andersson,Sweden,Sweden,Andersson received his BSc and MSc at Umeå University Sweden and his PhD and DSc at Lund University Sweden,P27,Forwards
Czech Republic,Germany,Germany,It is bordered by Austria to the south Germany to the west Poland to the northeast and Slovakia to the east,P530,Backwards
International Style architecture,Modern architecture,modern architecture,The International Style or internationalism is a major architectural style that was developed in the 1920s and 1930s and was closely related to modernism and modern architecture,P279,Forwards
Dariusz Szwed,Poland,Polish,Dariusz Szwed born 25 April 1967 in Kraków is a Polish politician feminist activist and expert on green economy and sustainable development,P27,Forwards
Nigeria,West Africa,West Africa,Nigeria is the largest country in both West Africa and Africa by population with a population of 211 million while covering an area of 923769 square kilometers,P527,Backwards
Belgium,European Union,European Union,Belgium is one of the six founding countries of the European Union and its capital Brussels hosts the official seats of the European Commission the Council of the European Union and the European Council as well as one of two seats of the European Parliament the other being Strasbourg,P150,Backwards
Taiwan,Japan,Japan,Neighbouring countries include the Peoples Republic of China PRC to the northwest Japan to the northeast and the Philippines to the south,P47,Forwards
Rwanda,Tanzania,Tanzania,Located a few degrees south of the Equator Rwanda is bordered by Uganda Tanzania Burundi and the Democratic Republic of the Congo,P530,Forwards
Environmental issues in Finland,Finland,Finland,There are a number of environmental issues in Finland,P17,Forwards
One Central Park,New South Wales,New South Wales,One Central Park is a mixeduse dual highrise building located in the Sydney suburb of Chippendale in New South Wales Australia,P131,Forwards
Renewable energy,Hydroelectricity,Hydroelectricity,Hydroelectricity,P279,Backwards
42nd G7 summit,Group of Seven,G7,In March 2014 the G7 declared that a meaningful discussion was currently not possible with Russia in the context of the G8,P527,Backwards
Health in Namibia,Namibia,Namibia,The health status of Namibia has increased steadily since independence and the government does have focus on health in the country and seeks to make health service upgrades,P17,Forwards
Fundy National Park,New Brunswick,New Brunswick,Fundy National Park is a national park of Canada located on the Bay of Fundy near the village of Alma New Brunswick,P131,Forwards
Nova Scotia,New Brunswick,New Brunswick,The peninsula that makes up Nova Scotias mainland is connected to the rest of North America by the Isthmus of Chignecto on which the provinces land border with New Brunswick is located,P47,Forwards
Estonia,European Union,EU,LegislatureRiigikoguIndependence160from Russia and Soviet Union•160Autonomy 12 April 1917•160Declared 24 February 1918•160Recognised 2 February 1920•160Soviet occupation 1940–1991•160Restored 20 August 1991•160Joined the EU 1 May 2004,P527,Backwards
Sudetes,Czech Republic,Czech Republic,The Sudetes suːˈdiːtiːz sooDEEteez Polish Sudety German Sudeten Czech Krkonošskojesenická subprovincie are a mountain range in Central Europe shared by Germany Poland and the Czech Republic,P17,Forwards
Montgomery County Maryland,Washington DC,Washington DC,state of Maryland located adjacent to Washington DC As of the 2010 census the countys population was 971777 increasing by 81 to an estimated 1050688 in 2019,P47,Backwards
Logging,Forestry,forestry,In forestry the term logging is sometimes used narrowly to describe the logistics of moving wood from the stump to somewhere outside the forest usually a sawmill or a lumber yard,P279,Forwards
Climate change in Bangladesh,Bangladesh,Bangladesh,Bangladeshs vulnerability to climate change impacts is due to a combination of geographical factors such as its flat lowlying and deltaexposed topography and socioeconomic factors including its high population density levels of poverty and dependence on agriculture,P17,Forwards
Organic Meadow Cooperative,Canada,Canada,With this thought in mind they created what is now one of Canada’s most successful farmers cooperatives,P17,Forwards
Green Party of California,Green Party of the United States,Green Party of the United States,The Green Party of California GPCA is the California affiliate of the Green Party of the United States founded in 1990,P361,Forwards
Energy economics,Economics,economics,Due to diversity of issues and methods applied and shared with a number of academic disciplines energy economics does not present itself as a selfcontained academic discipline but it is an applied subdiscipline of economics,P279,Forwards
New Zealand,Australia,Australia,New Zealand is about 2000 kilometres 1200160mi east of Australia across the Tasman Sea and 1000 kilometres 600160mi south of the islands of New Caledonia Fiji and Tonga,P47,Backwards
Belgium,European Union,European Union,    Motto160Eendracht maakt macht160DutchLunion fait la force160FrenchEinigkeit macht stark160GermanUnity makes strengthAnthem160La BrabançonneEnglish The Brabantian Location of160Belgium160dark green–160in Europe160green amp160dark grey–160in the European Union160greenCapitaland largest cityBrussels50°51′N 4°21′Exfeff  xfeff50850°N 4350°Exfeff  50850 4350Official160languagesDutchFrenchGermanReligion  2019,P150,Backwards
Kalamansig,Philippines,Philippines,Kalamansig officially the Municipality of Kalamansig  is a 1st class municipality in the province of Sultan Kudarat Philippines,P17,Forwards
Nanjing,China,Peoples Republic of China,Nanjing nænˈdʒɪŋ Chinese58 南京 pinyin58 Nánjīng Mandarin pronunciation na780ntɕi769ŋ32listen formerly romanized as Nanking is the capital of Jiangsu province of the Peoples Republic of China a subprovincial city a megacity and the second largest city in the East China region,P17,Forwards
Taiwan,Foreign relations of Taiwan,maintains official diplomatic relations,Taiwan maintains official diplomatic relations with 14 out of 193 UN member states and the Holy See though many others maintain unofficial diplomatic ties with Taiwan through representative offices and institutions that function as de facto embassies and consulates,P17,Backwards
Wikiwoods,Berlin,Berlin, As of 201691update93 events have taken place in Berlin Brandenburg Göttingen and MecklenburgVorpommern in Germany as well as in Hîrbovăț in Moldova,P131,Forwards
Sudhanshu Sharma,India,India,He was awarded the Eminent Environmental Scientist Award during the 33rd World Environment Congress New Delhi India by the International Association of Educators for word peace an organisation affiliated by UNICEF,P27,Forwards
Oregon,Snake River,Snake River,The Columbia River delineates much of Oregons northern boundary with Washington while the Snake River delineates much of its eastern boundary with Idaho,P131,Backwards
Vernard Eller,United States,American,Vernard Marion Eller July 11 1927160– June 18 2007 was an American author Christian pacifist and minister in the Church of the Brethren,P27,Forwards
Berlin,Germany,Germany,One of Germanys sixteen constituent states Berlin is surrounded by the State of Brandenburg and contiguous with Potsdam Brandenburgs capital,P17,Forwards
List of ecoregions in Cuba,Cuba,Cuba,The following is a list of ecoregions in Cuba as identified by the World Wide Fund for Nature WWF,P17,Forwards
Maharashtra,India,India,MH is a state in the western peninsular region of India occupying a substantial portion of the Deccan Plateau,P17,Forwards
New Zealand,Jacinda Ardern,Jacinda Ardern,Nationally legislative authority is vested in an elected unicameral Parliament while executive political power is exercised by the Cabinet led by the prime minister currently Jacinda Ardern,P27,Backwards
Alberta,British Columbia,British Columbia,Alberta is bordered by British Columbia to the west Saskatchewan to the east the Northwest Territories NWT to the north and the a hrefwikiUSstate titleUS,P47,Forwards
Shanghai,China,Peoples Republic of China,Shanghai ʃæŋˈhaɪ Chinese58 上海 Shanghainese pronunciation zɑ̃̀hɛ́ 32listen Standard Mandarin pronunciation ʂa770ŋxa768i32listen is one of the four directadministered municipalities of the Peoples Republic of China governed by the State Council,P17,Forwards
Niue,New Zealand,New Zealand,Niue is a selfgoverning state in free association with New Zealand and New Zealand conducts most diplomatic relations on its behalf,P530,Forwards
Protein,Enzyme,enzymes,Many proteins are enzymes that catalyse biochemical reactions and are vital to metabolism,P279,Backwards
White Grass Ski Touring Center,United States,United States, The resort uses Weiss Knobs former lodge as its day lodge it is one of the oldest dedicated cross country ski areas in the United States,P17,Forwards
European Union,United Kingdom,United Kingdom,LegislatureSee legislative procedureFormation•160Treaty of Rome 1 January 1958•160Single European Act 1 July 1987•160Treaty of Maastricht 1 November 1993•160Treaty of Lisbon 1 December 2009•160Last polity admitted 1 July 2013 Croatia•160Last polity withdrawn 31 January 2020 United Kingdom,P361,Backwards
Federal Public Service Health,Belgium,Belgium,The FPS Public Health Food Chain Safety and Environment Dutch FOD Volksgezondheid Veiligheid van de Voedselketen en Leefmilieu French SPF Santé publique Sécurité de la Chaîne alimentaire et Environnement German FÖD Volksgesundheit Sicherheit der Nahrungsmittelkette und Umwelt more commonly known as the FPS Health is a Federal Public Service of Belgium,P17,Forwards
Canada,Montreal,Montreal,Canadas capital is Ottawa and its three largest metropolitan areas are Toronto Montreal and Vancouver,P17,Backwards
Angola,South Africa,South Africa,The country descended into a devastating civil war the same year between the ruling Peoples Movement for the Liberation of Angola MPLA backed by the Soviet Union and Cuba and the insurgent anticommunist National Union for the Total Independence of Angola UNITA supported by the United States and South Africa,P530,Forwards
